TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
       154,    570001,         0,         0,       0.8,     85297,    177114,    503847,         1,       727,         0,     11795,     85430,    152095,    322653,         0,      2188,         0,      4458
       155,    570002,990.592547,     502.3,         0,    147490,    237661,    440607,         2,      3200,         0,      7618,    138959,    201712,    299001,       658,     14325,         0,      3303
       156,    570003,2333.21838,     707.3,         0,    105055,    187735,    330719,         0,      1168,         0,      4945,    106178,    163412,    238303,       707,      8534,         0,      1955
       157,    570004,1299.73698,    1099.8,         0,    161242,    255551,    487952,         0,      3177,         0,     10003,    151576,    215566,    324625,      1220,     16621,         0,      4732
       158,    570005,870.265885,     857.3,         0,    174363,    274427,    512519,        14,      6543,         0,      9598,    158692,    226197,    337675,      1458,     19311,         0,      4479
       159,    570006,3281.93156,     391.8,       2.5,    111354,    205219,    399527,         3,       992,         0,     13775,    112161,    177922,    271520,       392,      5277,         0,      5457
       160,    570007,2690.21186,    1037.8,         0,    133873,    231184,    435617,         0,      1501,         0,      9747,    129987,    197919,    294437,      1038,     11705,         0,      4233
       161,    570008,277.020743,     159.2,      18.3,    205679,    315724,    590239,        67,     18078,         0,     14353,    182381,    249787,    379615,       797,     26842,         0,      7167
       162,    570009,945.959635,     572.7,         0,    197522,    294099,    567147,         0,      7716,         0,     13780,    174855,    236271,    366785,       873,     21237,         0,      6863
       163,    570010,109.891340,      60.2,         0,    209710,    325918,    599084,        25,     14438,         0,     14809,    185097,    254831,    384148,       801,     24858,         0,      7341
       164,    570011,388.340758,     135.0,         0,    219399,    344739,    617227,        16,     26795,         0,     16326,    189586,    262457,    394060,       510,     31205,         0,      8145
       165,    570012,4580.44630,         0,     781.7,    118088,    220002,    467736,       782,       969,         0,      8893,    112355,    186719,    308568,         0,      4259,         0,      3763
       166,    570013,668.526890,     498.7,         0,    197575,    310282,    574301,         0,      3773,         0,     16094,    177148,    244035,    370693,       813,     18456,         0,      7859
       167,    570014,396.257237,      98.2,         0,    215127,    334893,    614491,        11,     13955,         0,     15834,    187825,    258018,    391842,       728,     24863,         0,      7864
       168,    570015,238.343642,     109.3,         0,    217126,    339714,    627555,        20,     20663,         0,     16073,    189407,    260672,    399360,       590,     28065,         0,      7986
       169,    570016,341.616489,     119.3,         0,    236239,    369181,    630890,         8,     31009,         0,     18573,    200984,    274649,    400959,       616,     32729,         0,      9303
       170,    570017,495.060813,     273.2,     193.2,    148461,    272686,    538580,       193,      1310,         0,     11658,    136911,    220975,    350775,       489,     10277,         0,      5307
       171,    570018,498.318878,     375.0,         0,    164477,    301546,    560976,        63,      1728,         0,     13376,    149764,    237267,    363815,       741,     13753,         0,      6265
       172,    570019,388.358642,     253.8,         0,    244037,    397428,    674800,        16,     34314,         0,     19755,    207149,    288758,    424083,       846,     33608,         0,      9855
       173,    570020,500.223717,     342.2,         0,    249690,    410303,    681272,       255,     49105,         0,     20775,    209587,    293956,    428736,       998,     40083,         0,     10311
